name,genre,year,duration,rating,director,language
M3GAN,Horror,2022,102,6.4,Gerard Johnstone,English
Scream,Horror,2022,114,6.3,Matt Bettinelli-Olpin,English
The Invisible Man,Horror,2020,124,7.1,Leigh Whannell,English
A Quiet Place Part II,Horror,2020,97,7.2,John Krasinski,English
The Conjuring: The Devil Made Me Do It,Horror,2021,111,6.3,Michael Chaves,English
Malignant,Horror,2021,111,6.3,James Wan,English
Old,Horror,2021,108,5.8,M. Night Shyamalan,English
The Night House,Horror,2020,107,6.7,David Bruckner,English
Saint Maud,Horror,2019,84,6.7,Rose Glass,English
The Lighthouse,Horror,2019,109,7.4,Robert Eggers,English
Midsommar,Horror,2019,148,7.1,Ari Aster,English
Us,Horror,2019,116,6.8,Jordan Peele,English
It Chapter Two,Horror,2019,169,6.5,Andy Muschietti,English
Ready or Not,Horror,2019,95,6.8,Matt Bettinelli-Olpin,English
Scary Stories to Tell in the Dark,Horror,2019,108,6.2,André Øvredal,English
Child's Play,Horror,2019,90,5.7,Lars Klevberg,English
The Nun,Horror,2018,96,5.3,Corin Hardy,English
Halloween,Horror,2018,106,6.5,David Gordon Green,English
The First Purge,Horror,2018,97,5.2,Gerard McMurray,English
Hereditary,Horror,2018,127,7.3,Ari Aster,English
A Quiet Place,Horror,2018,90,7.5,John Krasinski,English
The Strangers: Prey at Night,Horror,2018,85,5.0,Johannes Roberts,English
Insidious: The Last Key,Horror,2018,103,5.6,Adam Robitel,English
The Meg,Horror,2018,113,5.6,Jon Turteltaub,English
Bird Box,Horror,2018,124,6.6,Susanne Bier,English
Annihilation,Horror,2018,115,6.8,Alex Garland,English
The Cloverfield Paradox,Horror,2018,102,5.5,Julius Onah,English
Slender Man,Horror,2018,93,3.2,Sylvain White,English
The Possession of Hannah Grace,Horror,2018,85,4.8,Diederik Van Rooijen,English
Winchester,Horror,2018,99,5.4,The Spierig Brothers,English
Truth or Dare,Horror,2018,100,5.2,Jeff Wadlow,English
The Prodigy,Horror,2019,100,6.2,Nicholas McCarthy,English
Escape Room,Horror,2019,99,6.4,Adam Robitel,English
Ma,Horror,2019,99,6.0,Tate Taylor,English
Brightburn,Horror,2019,91,6.1,David Yarovesky,English
Crawl,Horror,2019,87,6.1,Alexandre Aja,English
Doctor Sleep,Horror,2019,152,7.3,Mike Flanagan,English
Zombieland: Double Tap,Comedy,2019,99,6.7,Ruben Fleischer,English
Good Boys,Comedy,2019,89,6.7,Gene Stupnitsky,English
Long Shot,Comedy,2019,125,6.8,Jonathan Levine,English
The Hustle,Comedy,2019,94,5.3,Chris Addison,English
Late Night,Comedy,2019,102,6.5,Nisha Ganatra,English
Booksmart,Comedy,2019,102,7.1,Olivia Wilde,English
The Dead Don't Die,Comedy,2019,104,5.5,Jim Jarmusch,English
Stuber,Comedy,2019,93,6.0,Michael Dowse,English
Jexi,Comedy,2019,84,5.6,Jon Lucas,English
The Kitchen,Crime,2019,102,4.8,Andrea Berloff,English
The Informer,Crime,2019,113,6.5,Andrea Di Stefano,English
21 Bridges,Crime,2019,99,6.6,Brian Kirk,English
The Good Liar,Crime,2019,109,6.5,Bill Condon,English
The Last Black Man in San Francisco,Drama,2019,120,7.3,Joe Talbot,English
Waves,Drama,2019,135,7.6,Trey Edward Shults,English
Honey Boy,Drama,2019,94,7.1,Alma Har'el,English
The Peanut Butter Falcon,Drama,2019,97,7.6,Michael Schwartz,English
Just Mercy,Drama,2019,137,7.6,Destin Daniel Cretton,English
Bombshell,Drama,2019,109,6.8,Jay Roach,English
Richard Jewell,Drama,2019,129,7.5,Clint Eastwood,English
A Beautiful Day in the Neighborhood,Drama,2019,109,7.3,Marielle Heller,English
The Two Popes,Drama,2019,125,7.6,Fernando Meirelles,English
Ford v Ferrari,Action,2019,152,8.1,James Mangold,English
Midway,War,2019,138,6.7,Roland Emmerich,English
1917,War,2019,119,8.3,Sam Mendes,English
Jojo Rabbit,Comedy,2019,108,7.9,Taika Waititi,English
Knives Out,Mystery,2019,130,7.9,Rian Johnson,English
Little Women,Drama,2019,135,7.8,Greta Gerwig,English
Marriage Story,Drama,2019,137,7.9,Noah Baumbach,English
The Irishman,Crime,2019,209,7.8,Martin Scorsese,English
Once Upon a Time in Hollywood,Comedy,2019,161,7.6,Quentin Tarantino,English
Joker,Drama,2019,122,8.4,Todd Phillips,English
Parasite,Thriller,2019,132,8.6,Bong Joon Ho,English
Avengers: Endgame,Action,2019,181,8.4,Anthony and Joe Russo,English
Toy Story 4,Animation,2019,100,7.7,Josh Cooley,English
Aladdin,Adventure,2019,128,6.9,Guy Ritchie,English
The Lion King,Animation,2019,118,6.8,Jon Favreau,English
Fast & Furious Presents: Hobbs & Shaw,Action,2019,137,6.4,David Leitch,English
John Wick: Chapter 3 - Parabellum,Action,2019,131,7.4,Chad Stahelski,English
Spider-Man: Far From Home,Action,2019,129,7.4,Jon Watts,English
Captain Marvel,Action,2019,123,6.8,Anna Boden,English
Shazam!,Action,2019,132,7.0,David F. Sandberg,English
Godzilla: King of the Monsters,Action,2019,132,6.0,Michael Dougherty,English
Dark Phoenix,Action,2019,114,5.7,Simon Kinberg,English
Men in Black: International,Action,2019,115,5.6,F. Gary Gray,English
Gemini Man,Action,2019,117,5.7,Ang Lee,English
Rambo: Last Blood,Action,2019,89,6.1,Adrian Grunberg,English
Terminator: Dark Fate,Action,2019,128,6.2,Tim Miller,English
Charlie's Angels,Action,2019,118,4.8,Elizabeth Banks,English
The Rhythm Section,Action,2020,109,5.4,Reed Morano,English
Bloodshot,Action,2020,109,5.7,Dave Wilson,English
The Old Guard,Action,2020,125,6.6,Gina Prince-Bythewood,English
Project Power,Action,2020,113,6.0,Ariel Schulman,English
Tenet,Science Fiction,2020,150,7.4,Christopher Nolan,English
The Invisible Man,Horror,2020,124,7.1,Leigh Whannell,English
Sonic the Hedgehog,Action,2020,99,6.5,Jeff Fowler,English
Birds of Prey,Action,2020,109,6.1,Cathy Yan,English
Bad Boys for Life,Action,2020,124,6.5,Adil El Arbi,English
Wonder Woman 1984,Action,2020,151,5.4,Patty Jenkins,English
Mulan,Action,2020,115,5.6,Niki Caro,English
The New Mutants,Action,2020,94,5.3,Josh Boone,English
Bill & Ted Face the Music,Comedy,2020,91,6.0,Dean Parisot,English
The Lovebirds,Comedy,2020,86,6.1,Michael Showalter,English
Eurovision Song Contest: The Story of Fire Saga,Comedy,2020,123,6.4,David Dobkin,English
The King of Staten Island,Comedy,2020,136,7.1,Judd Apatow,English
Palm Springs,Comedy,2020,90,7.4,Max Barbakow,English
The Half of It,Comedy,2020,104,6.9,Alice Wu,English
Onward,Animation,2020,102,7.4,Dan Scanlon,English
Soul,Animation,2020,100,8.0,Pete Docter,English
The Croods: A New Age,Animation,2020,95,6.9,Joel Crawford,English
Over the Moon,Animation,2020,100,6.5,Glen Keane,English
Wolfwalkers,Animation,2020,103,8.0,Tomm Moore,English
The Trial of the Chicago 7,Drama,2020,129,7.7,Aaron Sorkin,English
Mank,Drama,2020,131,6.8,David Fincher,English
News of the World,Drama,2020,118,6.8,Paul Greengrass,English
The Midnight Sky,Science Fiction,2020,118,5.6,George Clooney,English
The Prom,Comedy,2020,131,5.2,Ryan Murphy,English
Ma Rainey's Black Bottom,Music,2020,94,6.9,George C. Wolfe,English
One Night in Miami,Drama,2020,114,7.1,Regina King,English
The United States vs. Billie Holiday,Music,2021,130,6.7,Lee Daniels,English
Cherry,Drama,2021,142,6.6,Anthony and Joe Russo,English
The Little Things,Crime,2021,128,6.3,John Lee Hancock,English
Judas and the Black Messiah,History,2021,126,7.4,Shaka King,English
The Mauritanian,Drama,2021,129,7.4,Kevin Macdonald,English
The Courier,Drama,2021,112,7.2,Dominic Cooke,English
Those Who Wish Me Dead,Thriller,2021,100,6.0,Taylor Sheridan,English
The Woman in the Window,Thriller,2021,100,5.7,Joe Wright,English
The Guilty,Thriller,2021,90,6.3,Antoine Fuqua,English
The Card Counter,Thriller,2021,111,6.2,Paul Schrader,English
The Many Saints of Newark,Crime,2021,120,6.3,Alan Taylor,English
The Last Duel,History,2021,152,7.4,Ridley Scott,English
House of Gucci,Crime,2021,158,6.6,Ridley Scott,English
King Richard,Drama,2021,144,7.5,Reinaldo Marcus Green,English
Tick, Tick... Boom!,Music,2021,115,7.5,Lin-Manuel Miranda,English
The Power of the Dog,Drama,2021,126,6.8,Jane Campion,English
Don't Look Up,Comedy,2021,138,7.2,Adam McKay,English
The Lost Daughter,Drama,2021,121,6.7,Maggie Gyllenhaal,English
Passing,Drama,2021,98,6.7,Rebecca Hall,English
CODA,Drama,2021,111,8.0,Sian Heder,English
Belfast,Drama,2021,98,7.3,Kenneth Branagh,English
Licorice Pizza,Comedy,2021,133,7.2,Paul Thomas Anderson,English
Nightmare Alley,Thriller,2021,150,7.0,Guillermo del Toro,English
West Side Story,Music,2021,156,7.2,Steven Spielberg,English
Dune,Science Fiction,2021,155,8.0,Denis Villeneuve,English
No Time to Die,Action,2021,163,7.3,Cary Joji Fukunaga,English
Spider-Man: No Way Home,Action,2021,148,8.2,Jon Watts,English
The Matrix Resurrections,Science Fiction,2021,148,5.7,Lana Wachowski,English
Ghostbusters: Afterlife,Comedy,2021,124,7.1,Jason Reitman,English
Eternals,Action,2021,156,6.3,Chloé Zhao,English
Shang-Chi and the Legend of the Ten Rings,Action,2021,132,7.4,Destin Daniel Cretton,English
Black Widow,Action,2021,134,6.7,Cate Shortland,English
The Suicide Squad,Action,2021,132,7.2,James Gunn,English
Free Guy,Comedy,2021,115,7.1,Shawn Levy,English
Red Notice,Action,2021,118,6.3,Rawson Marshall Thurber,English
The King's Man,Action,2021,131,6.3,Matthew Vaughn,English
The Tomorrow War,Science Fiction,2021,138,6.6,Chris McKay,English
Old,Horror,2021,108,5.8,M. Night Shyamalan,English
A Quiet Place Part II,Horror,2020,97,7.2,John Krasinski,English
The Conjuring: The Devil Made Me Do It,Horror,2021,111,6.3,Michael Chaves,English
Malignant,Horror,2021,111,6.3,James Wan,English
The Night House,Horror,2020,107,6.7,David Bruckner,English
Pan's Labyrinth,Fantasy,2006,118,8.2,Guillermo del Toro,Spanish
The Skin I Live In,Thriller,2011,120,7.6,Pedro Almodóvar,Spanish
Volver,Drama,2006,121,7.6,Pedro Almodóvar,Spanish
Talk to Her,Drama,2002,112,7.9,Pedro Almodóvar,Spanish
All About My Mother,Drama,1999,101,7.9,Pedro Almodóvar,Spanish
The Secret in Their Eyes,Drama,2009,129,8.2,Juan José Campanella,Spanish
Nine Queens,Crime,2000,114,8.1,Fabián Bielinsky,Spanish
Wild Tales,Comedy,2014,122,8.1,Damián Szifron,Spanish
Son of the Bride,Comedy,2001,123,7.8,Juan José Campanella,Spanish
The Official Story,Drama,1985,112,7.9,Luis Puenzo,Spanish
Camila,Drama,1984,87,7.1,Maria Luisa Bemberg,Spanish
The Aura,Thriller,2005,134,7.4,Fabián Bielinsky,Spanish
On Probation,Comedy,2005,105,7.1,Damián Szifron,Spanish
Waiting for the Hearse,Comedy,1985,87,8.2,Alejandro Doria,Spanish
Chinese Take-Away,Comedy,2011,93,7.5,Sebastián Borensztein,Spanish
The Clan,Crime,2015,108,7.3,Pablo Trapero,Spanish
Carancho,Thriller,2010,107,6.9,Pablo Trapero,Spanish
White Elephant,Drama,2012,115,6.9,Pablo Trapero,Spanish
Eternal Ashes,Drama,2022,125,7.8,Marcelo Páez Cubells,Spanish
Argentina,1985,History,2022,140,7.9,Santiago Mitre,Spanish
The Heist of the Century,Crime,2020,114,7.1,Ariel Winograd,Spanish
Heroic Losers,Comedy,2019,116,7.8,Sebastián Borensztein,Spanish
The Dog Who Wouldn't Be Quiet,Drama,2021,73,6.8,Ana Katz,Spanish
The Prince,Drama,2019,117,7.0,Sebastián Muñoz,Spanish
The Summit,Drama,2017,114,5.9,Santiago Mitre,Spanish
Zama,Drama,2017,115,6.8,Lucrecia Martel,Spanish
The Swamp,Drama,2001,103,7.1,Lucrecia Martel,Spanish
The Holy Girl,Drama,2004,106,6.8,Lucrecia Martel,Spanish
The Headless Woman,Drama,2008,87,6.7,Lucrecia Martel,Spanish
Roma,Drama,2018,135,7.7,Alfonso Cuarón,Spanish
Y Tu Mamá También,Drama,2001,106,7.6,Alfonso Cuarón,Spanish
The Crime of Father Amaro,Drama,2002,118,6.7,Carlos Carrera,Spanish
Love's a Bitch,Drama,2000,154,8.1,Alejandro González Iñárritu,Spanish
Biutiful,Drama,2010,148,7.5,Alejandro González Iñárritu,Spanish
Babel,Drama,2006,143,7.4,Alejandro González Iñárritu,Spanish
El Mariachi,Action,1992,81,6.9,Robert Rodriguez,Spanish
Desperado,Action,1995,104,7.2,Robert Rodriguez,Spanish
Like Water for Chocolate,Drama,1992,113,7.2,Alfonso Arau,Spanish
The Inferno,Comedy,2010,145,8.3,Luis Estrada,Spanish
Herod's Law,Comedy,1999,120,7.8,Luis Estrada,Spanish
Midaq Alley,Drama,1995,140,7.9,Jorge Fons,Spanish
Cronos,Horror,1993,94,6.7,Guillermo del Toro,Spanish
The Devil's Backbone,Horror,2001,106,7.4,Guillermo del Toro,Spanish
[Rec],Horror,2007,78,7.4,Jaume Balagueró,Spanish
The Orphanage,Horror,2007,105,7.4,J.A. Bayona,Spanish
Sleep Tight,Thriller,2011,102,7.3,Jaume Balagueró,Spanish
The Hidden Face,Thriller,2011,97,7.2,Andrés Baiz,Spanish
Cell 211,Thriller,2009,113,7.7,Daniel Monzón,Spanish
The Body,Thriller,2012,112,7.5,Oriol Paulo,Spanish
The Invisible Guest,Thriller,2016,106,8.0,Oriol Paulo,Spanish
During the Storm,Thriller,2018,128,7.4,Oriol Paulo,Spanish
Mirage,Science Fiction,2018,128,7.4,Oriol Paulo,Spanish
The Others,Horror,2001,104,7.6,Alejandro Amenábar,Spanish
The Sea Inside,Drama,2004,126,8.0,Alejandro Amenábar,Spanish
Open Your Eyes,Science Fiction,1997,119,7.7,Alejandro Amenábar,Spanish
Thesis,Thriller,1996,125,7.6,Alejandro Amenábar,Spanish
The Forest,Thriller,2012,87,5.2,David Pastor,Spanish
Marshland,Thriller,2014,105,7.6,Alberto Rodríguez,Spanish
The Man with Thousand Faces,Drama,2016,123,6.7,Alberto Rodríguez,Spanish
Unit 7,Thriller,2012,96,6.4,Alberto Rodríguez,Spanish
The Match Seller,Drama,2022,95,7.2,Alejo Moguillansky,Spanish
The Companion,Drama,2015,88,6.9,Pavel Giroud,Spanish
Behavior,Drama,2014,108,7.7,Ernesto Daranas,Spanish
Strawberry and Chocolate,Drama,1993,108,7.7,Tomás Gutiérrez Alea,Spanish
Memories of Underdevelopment,Drama,1968,97,7.8,Tomás Gutiérrez Alea,Spanish
Bad Education,Drama,2004,105,7.5,Pedro Almodóvar,Spanish
Lovers of the Arctic Circle,Romance,1998,112,7.7,Julio Médem,Spanish
Sex and Lucía,Romance,2001,128,7.3,Julio Médem,Spanish
Cows,Drama,1992,96,7.1,Julio Médem,Spanish
The Red Squirrel,Drama,1993,114,7.0,Julio Médem,Spanish
High Heels,Drama,1991,112,7.4,Pedro Almodóvar,Spanish
Tie Me Up! Tie Me Down!,Drama,1989,101,7.2,Pedro Almodóvar,Spanish
Women on the Verge of a Nervous Breakdown,Comedy,1988,89,7.6,Pedro Almodóvar,Spanish
Kika,Comedy,1993,115,6.5,Pedro Almodóvar,Spanish
The Flower of My Secret,Drama,1995,103,7.3,Pedro Almodóvar,Spanish
Live Flesh,Drama,1997,101,7.5,Pedro Almodóvar,Spanish
All About My Mother,Drama,1999,101,7.9,Pedro Almodóvar,Spanish
Bad Education,Drama,2004,105,7.5,Pedro Almodóvar,Spanish
Broken Embraces,Drama,2009,127,7.3,Pedro Almodóvar,Spanish
Mondays in the Sun,Drama,2002,113,7.5,Fernando León de Aranoa,Spanish
The Neighborhood,Drama,1998,94,7.4,Fernando León de Aranoa,Spanish
Princesses,Drama,2005,113,7.4,Fernando León de Aranoa,Spanish
A Perfect Day,Comedy,2015,106,6.8,Fernando León de Aranoa,Spanish
The Olive Tree,Drama,2016,98,6.9,Icíar Bollaín,Spanish
Even the Rain,Drama,2010,104,7.5,Icíar Bollaín,Spanish
Take My Eyes,Drama,2003,109,7.6,Icíar Bollaín,Spanish
Flowers from Another World,Drama,1999,103,7.2,Icíar Bollaín,Spanish
Katakrak,Documentary,2020,75,7.1,Icíar Bollaín,Spanish
A Twelve-Year Night,Drama,2018,122,7.6,Álvaro Brechner,Spanish
Bad Day to Go Fishing,Comedy,2020,107,6.7,Álvaro Brechner,Spanish
Mr. Kaplan,Comedy,2014,98,7.1,Álvaro Brechner,Spanish
The Life of Fish,Drama,2010,84,7.3,Matías Bize,Spanish
In Bed,Drama,2005,86,6.9,Matías Bize,Spanish
The Good Side of Crying,Comedy,2022,95,6.8,Matías Gueilburt,Spanish
Tomy's Notebook,Drama,2020,82,6.5,Carlos Sorin,Spanish
The Movie of Life,Drama,2021,105,7.0,Carlos Sorin,Spanish
Bombón: The Dog,Drama,2004,98,7.3,Carlos Sorin,Spanish
The Window,Drama,2008,85,7.1,Carlos Sorin,Spanish
Roma,Documentary,2004,148,7.8,Adolfo Aristarain,Spanish
A Place in the World,Drama,1992,120,7.8,Adolfo Aristarain,Spanish
Wild Tango,Drama,1993,125,7.2,Marcelo Piñeyro,Spanish
Wild Horses,Drama,1995,125,7.4,Marcelo Piñeyro,Spanish
Ashes from Paradise,Drama,1997,115,7.1,Marcelo Piñeyro,Spanish
Burnt Money,Crime,2000,125,7.2,Marcelo Piñeyro,Spanish
Kamchatka,Drama,2002,106,7.5,Marcelo Piñeyro,Spanish
The Method,Thriller,2005,115,7.0,Marcelo Piñeyro,Spanish
The Widows of Thursdays,Drama,2009,102,6.2,Marcelo Piñeyro,Spanish
The Lighthouse of the Orcas,Drama,2016,114,7.1,Gerardo Olivares,Spanish
Among Wolves,Drama,2010,115,7.2,Gerardo Olivares,Spanish
Sons of the Clouds,Documentary,2012,88,7.5,Álvaro Longoria,Spanish
Gun City,Thriller,2018,129,6.2,Dani de la Torre,Spanish
The Motive,Drama,2017,108,6.9,Manuel Martín Cuenca,Spanish
Cannibal,Drama,2013,119,6.4,Manuel Martín Cuenca,Spanish
Half of Heaven,Drama,1986,127,7.1,Manuel Gutiérrez Aragón,Spanish
Demons in the Garden,Drama,1982,100,7.3,Manuel Gutiérrez Aragón,Spanish
The Longest Night,Thriller,1991,120,6.8,José Luis García Sánchez,Spanish
Divine Words,Drama,1987,108,7.0,José Luis García Sánchez,Spanish
Pharaoh's Court,Comedy,1985,93,6.5,José Luis García Sánchez,Spanish
Voyage to Nowhere,Drama,1986,140,7.5,Fernando Fernán Gómez,Spanish
The Stranger,Drama,2022,98,7.3,Nacho Garassino,Spanish
The Last Summit,Documentary,2010,105,7.6,Juan Manuel Cotelo,Spanish
The Boat,War,1981,149,8.3,Wolfgang Petersen,German
The Lives of Others,Drama,2006,137,8.4,Florian Henckel von Donnersmarck,German
Good Bye Lenin!,Comedy,2003,121,7.7,Wolfgang Becker,German
Downfall,Drama,2004,156,8.2,Oliver Hirschbiegel,German
Run Lola Run,Thriller,1998,81,7.6,Tom Tykwer,German
Perfume: The Story of a Murderer,Crime,2006,147,7.5,Tom Tykwer,German
The Counterfeiters,Crime,2007,98,7.6,Stefan Ruzowitzky,German
Victoria,Thriller,2015,138,7.6,Sebastian Schipper,German
System Crasher,Drama,2019,118,7.6,Nora Fingscheidt,German
Toni Erdmann,Comedy,2016,162,7.3,Maren Ade,German
The Wave,Drama,2008,107,7.6,Dennis Gansel,German
The White Ribbon,Drama,2009,144,7.8,Michael Haneke,German
The Baader Meinhof Complex,Crime,2008,150,7.4,Uli Edel,German
Head-On,Drama,2004,121,7.9,Fatih Akin,German
In the Fade,Thriller,2017,106,7.3,Fatih Akin,German
In July,Comedy,2000,99,7.4,Fatih Akin,German
Soul Kitchen,Comedy,2009,93,7.1,Fatih Akin,German
Wings of Desire,Drama,1987,128,8.0,Wim Wenders,German
Hannah Arendt,Drama,2012,113,7.1,Margarethe von Trotta,German
The Tin Drum,Drama,1979,142,7.5,Volker Schlöndorff,German
Aguirre, the Wrath of God,Adventure,1972,95,7.8,Werner Herzog,German
Fitzcarraldo,Adventure,1982,158,8.0,Werner Herzog,German
Nosferatu the Vampyre,Horror,1979,107,7.5,Werner Herzog,German
Young Törless,Drama,1966,87,7.4,Volker Schlöndorff,German
M,Crime,1931,117,8.3,Fritz Lang,German
Metropolis,Science Fiction,1927,153,8.3,Fritz Lang,German
The Cabinet of Dr. Caligari,Horror,1920,78,8.1,Robert Wiene,German
The Marriage of Maria Braun,Drama,1979,120,7.9,Rainer Werner Fassbinder,German
Lili Marleen,Drama,1981,120,6.6,Rainer Werner Fassbinder,German
Berlin Alexanderplatz,Drama,1980,931,8.2,Rainer Werner Fassbinder,German
The American Friend,Crime,1977,127,7.5,Wim Wenders,German
Wings of Desire,Drama,1987,128,8.0,Wim Wenders,German
Paris, Texas,Drama,1984,145,8.1,Wim Wenders,German
Stroszek,Drama,1977,108,7.9,Werner Herzog,German
The Enigma of Kaspar Hauser,Drama,1974,110,8.0,Werner Herzog,German
Suck Me Shakespeer,Comedy,2013,119,6.9,Bora Dagtekin,German
Fack ju Göhte 2,Comedy,2015,116,6.8,Bora Dagtekin,German
Fack ju Göhte 3,Comedy,2017,123,6.4,Bora Dagtekin,German
Who Am I,Thriller,2014,102,7.6,Baran bo Odar,German
Dark,Science Fiction,2017,60,8.7,Baran bo Odar,German
The Dark Valley,Western,2014,115,7.2,Andreas Prochaska,German
The Bunker,Thriller,2015,85,6.1,Nikias Chryssos,German
Goodbye Berlin,Comedy,2016,93,6.9,Fatih Akin,German
Never Look Away,Drama,2018,189,7.7,Florian Henckel von Donnersmarck,German
Nowhere in Africa,Drama,2001,141,7.7,Caroline Link,German
Beyond Silence,Drama,1996,109,7.6,Caroline Link,German
Kings of the Road,Drama,1976,176,8.0,Wim Wenders,German
Heaven Can Wait,Comedy,2022,125,6.8,Michael Herbig,German
Lissi and the Wild Emperor,Comedy,2007,85,5.8,Michael Herbig,German
The Shoe of Manitu,Comedy,2001,87,7.2,Michael Herbig,German
Dreamship Surprise,Science Fiction,2004,87,5.3,Michael Herbig,German
Balloon,Thriller,2018,125,7.3,Michael Herbig,German
The Miracle of Bern,Drama,2003,118,7.4,Sönke Wortmann,German
Maybe, Maybe Not,Comedy,1994,90,7.0,Sönke Wortmann,German
Stalingrad,War,1993,134,7.5,Joseph Vilsmaier,German
The Harmonists,Music,1997,126,7.3,Joseph Vilsmaier,German
Night Shapes,Drama,1999,103,7.1,Andreas Dresen,German
Grill Point,Drama,2002,110,7.0,Andreas Dresen,German
Willenbrock,Comedy,2005,115,6.5,Andreas Dresen,German
Cloud 9,Drama,2008,98,7.2,Andreas Dresen,German
Stopped on Track,Drama,2011,110,7.5,Andreas Dresen,German
